user_genome	classification
C_P23_bin.19	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
C_P23_bin.20	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;Oscillibacter welbionis
C_P23_bin.21	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira hominis
C_P23_bin.22	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger formicilis
C_P23_bin.26	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;Lachnospira eligens_A
C_P23_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Lawsonibacter;Lawsonibacter sp900066825
C_P23_bin.5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus
C_P23_bin.6	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Paraprevotella;Paraprevotella clara
C_P23_bin.8	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans
C_P23_bin.9	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia intestinalis
C_P26_bin.3	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;
C_P27_bin.1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_K
C_P29_bin.11	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola sp900317525
C_P29_bin.12	Bacteria;Bacillota;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595
C_P29_bin.3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis
C_P29_bin.5	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia hominis
C_P29_bin.7	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp002472405
C_P30_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Fimenecus;Fimenecus sp000432435
C_P30_bin.5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;Cryptobacteroides sp000433355
C_P30_bin.6	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp001916715
S_ERR13594511_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas coprocola
S_ERR13594512_bin.2	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
S_ERR13594512_bin.4	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Hominicoprocola;Hominicoprocola fusiformis
S_ERR13594512_bin.5	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinivibrio;Succinivibrio sp000431835
S_ERR13594513_bin.1	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger qucibialis
S_ERR13594514_bin.2	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-217;CAG-217 sp000436335
